category,image_idx,dino_hit,dino_norm_dist,dino_smoothness,dino_coherence,dino_spread,sam_hit,sam_norm_dist,sam_smoothness,sam_coherence,sam_spread,radio_hit,radio_norm_dist,radio_smoothness,radio_coherence,radio_spread
backpack_dog,04,True,0.154334050710742,0.15420477,0.23076923076923078,2.759124087591241,True,0.27364483967331393,0.15309623,0.5009345794392523,2.4585365853658536,True,0.19882709670914622,0.16527958,0.527027027027027,2.796116504854369
barn,00,False,0.36613537343969776,0.12697305,0.7571428571428571,1.905109489051095,False,0.6468284044754673,0.11696896,0.2328042328042328,2.8780487804878048,False,0.4646674148319394,0.14870232,0.9690721649484536,1.941747572815534
barn,01,True,0.1270774603908075,0.12043644,0.4090909090909091,2.335766423357664,True,0.07766220197934637,0.108422436,0.2,2.3634146341463413,True,0.039513986791253286,0.14565988,0.9532710280373832,2.3592233009708736
barn,02,True,0.19180085478447684,0.12795089,0.7169811320754716,2.408759124087591,True,0.03432335818382987,0.113682196,0.24468085106382978,4.782926829268293,False,0.35085839628111887,0.14646903,1.0,2.4466019417475726
barn,03,True,0.1724623649940659,0.12179573,0.6851851851851852,2.18978102189781,True,0.0690190386747964,0.11379364,0.2560386473429952,5.365853658536586,False,0.26044959169266146,0.13094918,1.0,2.2718446601941746
barn,04,True,0.029567805293453608,0.12130909,0.3333333333333333,2.2627737226277373,False,0.3642235230076952,0.12304529,0.30666666666666664,2.6878048780487807,True,0.12369170940931212,0.14817621,0.9545454545454546,2.4466019417475726
barn,05,False,0.3248717337388215,0.14815246,0.379746835443038,3.510948905109489,False,0.43609416728945855,0.11265225,0.22253521126760564,4.017073170731707,True,0.2650427912782339,0.14179568,0.9951923076923077,4.349514563106796
barn,06,True,0.14318438108199052,0.12499914,0.4642857142857143,2.6496350364963503,False,0.27255493027429034,0.11287832,0.23809523809523808,2.5853658536585367,False,0.16947562484674547,0.16034727,1.0,2.7184466019417477
bear_plushie,00,False,0.5059349507578976,0.12747534,0.88,1.4306569343065694,False,0.45181495598735955,0.114493795,0.9710982658959537,7.024390243902439,True,0.23773381585438963,0.20693688,1.0,1.6407766990291262
bear_plushie,01,False,0.17313902553392013,0.1495654,0.7735849056603774,2.18978102189781,True,0.11130360713450638,0.13263223,0.8862559241706162,2.370731707317073,True,0.21383701941610403,0.18920766,1.0,2.796116504854369
bear_plushie,02,True,0.17164837726093898,0.14333948,0.34210526315789475,2.605839416058394,True,0.10929240098054606,0.17552431,0.9028925619834711,2.4585365853658536,True,0.1954928886472474,0.18374133,1.0,2.970873786407767
bear_plushie,03,True,0.19312725093528782,0.1546641,0.52,2.854014598540146,True,0.05023722503378911,0.14670481,0.7355242566510172,2.6878048780487807,True,0.25314477210641684,0.20597383,0.9953488372093023,3.1067961165048543
bear_plushie,04,True,0.09044586539440182,0.15467855,0.34146341463414637,2.8905109489051095,False,0.33189332716250236,0.15569055,0.8908227848101266,2.65609756097561,False,0.360352804879751,0.19349037,0.995260663507109,3.3009708737864076
